iter	RMSE
0	376745.7919
1	372897.8408
2	369488.1398
3	366111.1976
4	362870.8985
5	360378.5668
6	357819.3833
7	355305.9499
8	352255.8207
9	349108.4829
10	346894.9184
11	344250.1945
12	341344.2383
13	338898.9073
14	336318.2423
15	334155.5928
16	333301.5342
17	330982.0391
18	328741.8356
19	327050.9991
20	325710.2836
21	323405.1497
22	321296.909
23	320531.485
24	318447.8223
25	316622.0777
26	315901.8247
27	314491.2397
28	313010.502
29	312078.0775
30	309865.503
31	309179.3805
32	307312.9959
33	305386.7379
34	304623.1447
35	303437.3421
36	301604.3363
37	300149.5575
38	298021.5887
39	296835.5473
40	295772.7119
41	294160.4174
42	293612.332
43	292618.6734
44	292088.1726
45	290896.9386
46	289408.2592
47	288108.4315
48	287443.6241
49	285960.5596
50	284841.922
51	283976.3475
52	283377.4069
53	282259.8628
54	281769.9863
55	281283.1971
56	279396.0011
57	278619.27
58	277096.6352
59	275839.404
60	275116.7043
61	274035.3623
62	272591.6806
63	271738.2142
64	270545.9977
65	270001.1195
66	268624.5859
67	267382.8499
68	266226.3059
69	265773.7042
70	265226.653
71	264178.3344
72	263293.8847
73	262398.7355
74	261881.0305
75	260847.4292
76	259834.5086
77	258896.3543
78	258349.7847
79	257924.746
80	257244.0557
81	256516.8922
82	255563.4743
83	255052.1881
84	254370.9299
85	253372.8131
86	252992.8723
87	252156.5659
88	251852.1336
89	251376.1477
90	250934.6418
91	249941.7757
92	249516.196
93	248660.6068
94	248177.6083
95	247703.8541
96	247240.7461
97	246052.0375
98	245453.7751
99	244044.7452
100	242959.9751
101	242559.5622
102	241735.426
103	240618.932
104	239550.6251
105	238700.9166
106	237774.1454
107	236982.7562
108	236197.0494
109	235787.5
110	234821.1512
111	234452.423
112	233849.6076
113	233066.8762
114	232410.3732
115	231610.4479
116	230685.9076
117	230021.0382
118	229812.7137
119	229355.3923
120	228553.5188
121	228085.1494
122	227477.9353
123	226895.8972
124	226257.1273
125	225917.9118
126	225261.2745
127	224901.6901
128	224432.562
129	224086.9088
130	223522.4213
131	223132.8868
132	222782.4516
133	222434.6736
134	221992.0169
135	221465.3442
136	221106.0333
137	220493.4722
138	219646.6478
139	218783.4037
140	218153.8494
141	217745.4048
142	217007.909
143	216422.3756
144	216106.0962
145	215783.5399
146	215367.493
147	214986.4859
148	214350.9817
149	213971.4929
150	213432.3315
151	213084.2312
152	212413.9401
153	211529.2656
154	211240.2115
155	210269.5326
156	209514.827
157	209280.4652
158	208452.0806
159	208095.5715
160	207556.8771
161	206795.7311
162	206455.3321
163	205579.4065
164	204835.617
165	204500.1005
166	204250.8112
167	203819.1843
168	203624.6435
169	203320.0039
170	202481.6966
171	202135.4819
172	201844.6615
173	201238.6882
174	200490.5088
175	200015.0547
176	199710.0472
177	199378.3911
178	198693.0829
179	197945.4819
180	197649.1131
181	197306.9579
182	196744.4986
183	195899.3477
184	195450.5098
185	194795.8349
186	194504.6802
187	194176.4326
188	193901.6896
189	193340.8821
190	192632.3651
191	192310.1768
192	191739.0749
193	191448.3383
194	191122.2705
195	190818.4615
196	190512.6152
197	190189.8115
198	189701.7573
199	188890.4887
200	188393.3719
201	188105.1482
202	187665.4459
203	187092.7392
204	186808.0647
205	186292.1809
206	186010.4218
207	185703.2358
208	185218.184
209	184648.3817
210	184382.5345
211	183827.6489
212	183564.9053
213	183071.4135
214	182299.9552
215	182010.8614
216	181752.4828
217	181499.8027
218	180989.5071
219	180744.3351
220	180231.43
221	179763.747
222	179497.0512
223	179247.1382
224	179002.5335
225	178534.8014
226	178046.0971
227	177801.7294
228	176928.2319
229	176633.2629
230	176322.0626
231	176088.9208
232	175809.7773
233	175534.2392
234	174853.9798
235	174168.2719
236	173708.0894
237	173482.8103
238	173058.3294
239	172814.8495
240	172596.4001
241	172365.7869
242	172130.3947
243	171644.773
244	171433.2097
245	171227.4565
246	170783.4391
247	170577.2487
248	169920.2125
249	169697.3169
250	169496.4483
251	169118.5912
252	168920.7258
253	168723.2692
254	168514.5019
255	167902.8391
256	167708.8185
257	167262.6688
258	166909.6472
259	166308.4664
260	165912.9407
261	165723.7634
262	165535.3444
263	165164.3831
264	164980.0006
265	164794.681
266	164614.2858
267	164436.1446
268	164259.1118
269	164068.5409
270	163880.932
271	163551.1574
272	163187.319
273	162554.4125
274	162381.649
275	162016.204
276	161422.722
277	161239.1747
278	160895.0052
279	160727.0324
280	160088.7946
281	159608.4993
