iter	Passed	Remaining
0	3	3651
1	7	3505
2	10	3443
3	14	3579
4	17	3569
5	21	3533
6	24	3473
7	28	3480
8	31	3502
9	35	3467
10	37	3367
11	40	3351
12	44	3374
13	48	3382
14	51	3377
15	54	3365
16	58	3364
17	62	3419
18	65	3405
19	69	3389
20	72	3373
21	75	3366
22	79	3362
23	82	3359
24	85	3351
25	89	3344
26	93	3353
27	96	3354
28	99	3343
29	103	3336
30	106	3332
31	110	3344
32	113	3338
33	117	3330
34	120	3325
35	124	3330
36	128	3332
37	131	3327
38	135	3331
39	138	3332
40	142	3332
41	146	3330
42	149	3321
43	152	3311
44	156	3318
45	159	3317
46	163	3315
47	167	3314
48	170	3315
49	174	3320
50	178	3319
51	182	3327
52	186	3326
53	190	3333
54	193	3330
55	197	3326
56	200	3320
57	204	3324
58	208	3318
59	211	3313
60	214	3306
61	218	3298
62	221	3300
63	225	3295
64	228	3287
65	231	3281
66	234	3268
67	238	3271
68	242	3267
69	245	3261
70	246	3224
71	249	3221
72	253	3224
73	257	3225
74	260	3218
75	264	3212
76	268	3216
77	271	3213
78	275	3206
79	278	3199
80	281	3196
81	285	3199
82	289	3199
83	293	3197
84	296	3192
85	300	3198
86	304	3195
87	307	3190
88	311	3185
89	314	3182
90	318	3181
91	321	3175
92	325	3172
93	328	3166
94	332	3165
95	335	3162
96	339	3158
97	342	3152
98	345	3148
99	349	3145
100	352	3141
101	356	3135
102	359	3131
103	363	3129
104	366	3124
105	369	3119
106	373	3116
107	376	3112
108	380	3112
109	384	3108
110	387	3107
111	391	3104
112	395	3100
113	398	3097
114	402	3094
115	405	3088
116	408	3085
117	412	3082
118	415	3079
119	419	3075
120	422	3068
121	425	3065
122	429	3064
123	433	3061
124	436	3055
125	439	3049
126	443	3046
127	446	3044
128	450	3039
129	453	3035
130	456	3030
131	460	3030
132	464	3027
133	467	3023
134	471	3018
135	474	3015
136	478	3014
137	481	3010
138	485	3005
139	488	3000
140	492	2998
141	495	2995
142	499	2993
143	502	2988
144	504	2977
145	509	2978
146	512	2974
147	515	2970
148	519	2966
149	523	2968
150	527	2966
151	530	2961
152	534	2957
153	538	2955
154	541	2952
155	544	2947
156	547	2942
157	551	2938
158	554	2931
159	558	2929
160	561	2925
161	564	2921
162	568	2917
163	572	2916
164	575	2911
165	578	2906
166	582	2903
167	585	2899
168	588	2895
169	592	2891
170	595	2889
171	599	2884
172	603	2882
173	606	2879
174	610	2875
175	613	2871
176	616	2868
177	620	2865
178	623	2861
179	627	2857
180	630	2854
181	634	2851
182	637	2848
183	641	2843
184	644	2838
185	647	2833
186	651	2831
187	654	2827
188	657	2823
189	661	2818
190	664	2815
191	668	2812
192	672	2809
193	675	2805
194	678	2801
195	682	2798
196	685	2795
197	689	2791
198	692	2786
199	695	2782
200	699	2779
201	702	2777
202	706	2773
203	709	2769
204	713	2766
205	716	2763
206	720	2760
207	723	2756
208	727	2752
209	731	2751
210	734	2747
