,name,company,year,Price,kms_driven,fuel_type
0,Hyundai XO III,Hyundai,2007,80000,45000,Petrol
1,Mahindra MDI,Mahindra,2006,425000,40,Diesel
2,Hyundai Magna VTVT,Hyundai,2014,325000,28000,Petrol
3,Ford 1.5L,Ford,2014,575000,36000,Diesel
4,Ford,Ford,2012,175000,41000,Diesel
5,Hyundai,Hyundai,2013,190000,25000,Petrol
6,Ford 1.5L,Ford,2016,830000,24530,Diesel
7,Maruti K10,Maruti,2015,250000,60000,Petrol
8,Skoda 1.2,Skoda,2010,182000,60000,Petrol
9,Maruti VXi,Maruti,2015,315000,30000,Petrol
10,Hyundai Magna,Hyundai,2014,415000,32000,Petrol
11,Mahindra BS,Mahindra,2015,320000,48660,Diesel
12,Hyundai XO III,Hyundai,2007,80000,45000,Petrol
13,Mahindra MDI,Mahindra,2006,425000,40,Diesel
14,Audi,Audi,2017,1000000,4000,Petrol
15,Audi,Audi,2014,500000,16934,Diesel
16,Mahindra,Mahindra,2016,350000,43000,Diesel
17,Maruti 800,Maruti,2014,160000,35550,Petrol
18,Mahindra,Mahindra,2016,350000,43000,Diesel
19,Mahindra,Mahindra,2016,310000,39522,Diesel
20,Maruti 800,Maruti,2015,75000,39000,Petrol
21,Hyundai 1.2,Hyundai,2012,100000,55000,Petrol
22,Hyundai 1.2,Hyundai,2012,100000,55000,Petrol
23,Hyundai 1.2,Hyundai,2012,100000,55000,Petrol
24,Maruti 800,Maruti,2017,190000,72000,Petrol
25,Maruti Brezza,Maruti,2016,290000,15975,Diesel
26,Maruti LX,Maruti,2008,95000,70000,Petrol
27,Mahindra,Mahindra,2017,180000,23452,Diesel
28,Maruti Dzire,Maruti,2014,385000,35522,Diesel
29,Mahindra 4WD,Mahindra,2015,250000,48508,Diesel
30,Maruti Vdi,Maruti,2017,180000,15487,Petrol
31,Maruti R III,Maruti,2013,105000,39000,Petrol
32,Maruti R,Maruti,2013,105000,39000,Petrol
33,Toyota G BS,Toyota,2012,650000,82000,Diesel
34,Renault PS,Renault,2018,689999,20000,Diesel
35,Skoda 2.0 4x2,Skoda,2012,448000,68000,Diesel
36,Maruti Delta,Maruti,2017,549000,32000,Diesel
37,Renault PS Plus,Renault,2012,501000,38000,Diesel
38,Renault PS,Renault,2013,489999,27000,Diesel
39,Honda S,Honda,2011,280000,33000,Petrol
40,Maruti K10,Maruti,2015,250000,60000,Petrol
41,Maruti,Maruti,2013,349999,46000,Diesel
42,Honda,Honda,2013,284999,46000,Diesel
43,Honda SX,Honda,2015,345000,36000,Diesel
44,Honda,Honda,2015,499999,55000,Petrol
45,Datsun S,Datsun,2017,235000,16000,Petrol
46,Maruti ZXI,Maruti,2010,249999,36000,Petrol
47,Mitsubishi Limited,Mitsubishi,2015,1475000,47000,Diesel
48,Mahindra,Mahindra,2017,180000,23452,Diesel
49,Maruti Dzire,Maruti,2014,385000,35522,Diesel
50,Mahindra 4WD,Mahindra,2015,250000,48508,Diesel
51,Maruti Vdi,Maruti,2017,180000,15487,Petrol
52,Maruti R III,Maruti,2013,105000,39000,Petrol
53,Maruti R,Maruti,2013,105000,39000,Petrol
54,Mahindra,Mahindra,2015,395000,35000,Diesel
55,Maruti VXi BS,Maruti,2017,220000,30874,Petrol
56,Honda CVT,Honda,2017,170000,15000,Diesel
57,Maruti R IV,Maruti,2013,85000,29685,Petrol
58,Ford,Ford,2012,175000,41000,Diesel
59,Hyundai,Hyundai,2013,190000,25000,Petrol
60,Tata LS IV,Tata,2017,200000,130000,Diesel
61,Ford 1.5L,Ford,2016,830000,24530,Diesel
62,Tata LS IV,Tata,2017,200000,130000,Diesel
